 # Pressure Initial   1.6052041603631845E+031
 # 
 #  Radius              Mass                  Rho                   Pressure 
  #-------------------------------------
  4.250000000000000E+04   5.139324187432238E+27   1.597112956033797E+13   1.601952027617046E+31
  4.300000000000000E+04   5.322717472947961E+27   1.597044990746426E+13   1.601875467599517E+31
  4.350000000000000E+04   5.510417663281722E+27   1.596976235196196E+13   1.601798017384349E+31
  4.400000000000000E+04   5.702474463437666E+27   1.596906689614125E+13   1.601719677231775E+31
  4.450000000000000E+04   5.898937565446887E+27   1.596836354188873E+13   1.601640447354311E+31
  4.500000000000000E+04   6.099856648214901E+27   1.596765228969318E+13   1.601560327807016E+31
  4.550000000000000E+04   6.305281377374743E+27   1.596693314242131E+13   1.601479318912814E+31
  4.600000000000000E+04   6.515261405149066E+27   1.596620610154445E+13   1.601397420837444E+31
  4.650000000000000E+04   6.729846370194643E+27   1.596547116829859E+13   1.601314633720133E+31
  4.700000000000000E+04   6.949085897458740E+27   1.596472834441494E+13   1.601230957755898E+31
  4.750000000000000E+04   7.173029598029224E+27   1.596397763189732E+13   1.601146393170458E+31
  4.800000000000000E+04   7.401727068998459E+27   1.596321903302754E+13   1.601060940220850E+31
  4.850000000000000E+04   7.635227893306727E+27   1.596245254833292E+13   1.600974598966475E+31
  4.900000000000000E+04   7.873581639584063E+27   1.596167817987311E+13   1.600887369639343E+31
  4.950000000000000E+04   8.116837862042033E+27   1.596089593050688E+13   1.600799252561483E+31
  5.000000000000000E+04   8.365046100297494E+27   1.596010580183611E+13   1.600710247913338E+31
  5.050000000000000E+04   8.618255879242713E+27   1.595930779599978E+13   1.600620355935858E+31
  5.100000000000000E+04   8.876516708887228E+27   1.595850191435905E+13   1.600529576782372E+31
  5.150000000000000E+04   9.139878084207337E+27   1.595768815855037E+13   1.600437910637215E+31
  5.200000000000000E+04   9.408389485013068E+27   1.595686653049053E+13   1.600345357716310E+31
  5.250000000000000E+04   9.682100375798583E+27   1.595603703294801E+13   1.600251918331511E+31
  5.300000000000000E+04   9.961060205596262E+27   1.595519966705929E+13   1.600157592610840E+31
  5.350000000000000E+04   1.024531840782646E+28   1.595435443423344E+13   1.600062380713023E+31
  5.400000000000000E+04   1.053492440016213E+28   1.595350133815879E+13   1.599966283053533E+31
  5.450000000000000E+04   1.082992758438369E+28   1.595264038029698E+13   1.599869299797018E+31
  5.500000000000000E+04   1.113037734622377E+28   1.595177156181906E+13   1.599771431075393E+31
  5.550000000000000E+04   1.143632305522165E+28   1.595089488535260E+13   1.599672677184641E+31
  5.600000000000000E+04   1.174781406458914E+28   1.595001035326586E+13   1.599573038391537E+31
  5.650000000000000E+04   1.206489971106020E+28   1.594911796616429E+13   1.599472514764283E+31
  5.700000000000000E+04   1.238762931474066E+28   1.594821772883933E+13   1.599371106842614E+31
  5.750000000000000E+04   1.271605217898699E+28   1.594730964132537E+13   1.599268814630403E+31
  5.800000000000000E+04   1.305021759021964E+28   1.594639370575779E+13   1.599165638368194E+31
  5.850000000000000E+04   1.339017481781504E+28   1.594546992552129E+13   1.599061578437257E+31
  5.900000000000000E+04   1.373597311395578E+28   1.594453830249971E+13   1.598956635049799E+31
  5.950000000000000E+04   1.408766171347992E+28   1.594359883827038E+13   1.598850808383499E+31
  6.000000000000000E+04   1.444528983372306E+28   1.594265153568088E+13   1.598744098759126E+31
  6.050000000000000E+04   1.480890667440160E+28   1.594169639601521E+13   1.598636506321318E+31
  6.100000000000000E+04   1.517856141744071E+28   1.594073342280443E+13   1.598528031467830E+31
  6.150000000000000E+04   1.555430322685167E+28   1.593976261736380E+13   1.598418674346825E+31
  6.200000000000000E+04   1.593618124858897E+28   1.593878398262969E+13   1.598308435289070E+31
  6.250000000000000E+04   1.632424461038322E+28   1.593779752026289E+13   1.598197314481647E+31
  6.300000000000000E+04   1.671854242162938E+28   1.593680323357927E+13   1.598085312298074E+31
  6.350000000000000E+04   1.711912377321056E+28   1.593580112326795E+13   1.597972428815978E+31
  6.400000000000000E+04   1.752603773737945E+28   1.593479119268366E+13   1.597858664413256E+31
  6.450000000000000E+04   1.793933336759829E+28   1.593377344421220E+13   1.597744019358657E+31
  6.500000000000000E+04   1.835905969841280E+28   1.593274788059790E+13   1.597628493961317E+31
  6.550000000000000E+04   1.878526574530978E+28   1.593171450391965E+13   1.597512088455417E+31
  6.600000000000000E+04   1.921800050455676E+28   1.593067331696330E+13   1.597394803154769E+31
  6.650000000000000E+04   1.965731295307702E+28   1.592962432183889E+13   1.597276638297061E+31
  6.700000000000000E+04   2.010325204828840E+28   1.592856752066680E+13   1.597157594121144E+31
