 # 
 #  Radius              Mass                  Rho                   Pressure 
  #-------------------------------------
  3.300000000000002E+00   1.339693956897397E-01   8.490312947560277E-04   7.208541394750968E-05
  3.400000000000002E+00   1.457337472959473E-01   8.399450504209759E-04   7.055076877266958E-05
  3.500000000000002E+00   1.580815256683696E-01   8.306272864213399E-04   6.899416889476787E-05
  3.600000000000002E+00   1.710144410493726E-01   8.210823855402613E-04   6.741762838444862E-05
  3.700000000000002E+00   1.845329661047167E-01   8.113148806925238E-04   6.582318356331241E-05
  3.800000000000002E+00   1.986363201279662E-01   8.013294556601774E-04   6.421288965086361E-05
  3.900000000000002E+00   2.133224550820068E-01   7.911309457271868E-04   6.258881732871930E-05
  4.000000000000002E+00   2.285880435364668E-01   7.807243381971731E-04   6.095304922534138E-05
  4.100000000000001E+00   2.444284685591463E-01   7.701147727775905E-04   5.930767632502799E-05
  4.200000000000001E+00   2.608378156186558E-01   7.593075418129399E-04   5.765479430540094E-05
  4.300000000000001E+00   2.778088665543103E-01   7.483080903488639E-04   5.599649980815634E-05
  4.400000000000000E+00   2.953330956679110E-01   7.371220160082290E-04   5.433488664840359E-05
  4.500000000000000E+00   3.134006679903383E-01   7.257550686595761E-04   5.267204196850660E-05
  4.600000000000000E+00   3.320004397738631E-01   7.142131498576430E-04   5.101004234295760E-05
  4.699999999999999E+00   3.511199612587285E-01   7.025023120350425E-04   4.935094984145802E-05
  4.799999999999999E+00   3.707454817598420E-01   6.906287574236277E-04   4.769680805805040E-05
  4.899999999999999E+00   3.908619571163227E-01   6.785988366836262E-04   4.604963811483708E-05
  4.999999999999998E+00   4.114530595431511E-01   6.664190472182765E-04   4.441143464953154E-05
  5.099999999999998E+00   4.325011899202459E-01   6.540960311514923E-04   4.278416179681339E-05
  5.199999999999998E+00   4.539874925499285E-01   6.416365729460188E-04   4.116974917419117E-05
  5.299999999999997E+00   4.758918724089082E-01   6.290475966396563E-04   3.957008788381277E-05
  5.399999999999997E+00   4.981930149156242E-01   6.163361626774342E-04   3.798702654239447E-05
  5.499999999999996E+00   5.208684082279941E-01   6.035094643181391E-04   3.642236735215671E-05
  5.599999999999996E+00   5.438943680803411E-01   5.905748235943559E-04   3.487786222635046E-05
  5.699999999999996E+00   5.672460651614996E-01   5.775396868061947E-04   3.335520898361974E-05
  5.799999999999995E+00   5.908975550288316E-01   5.644116195301607E-04   3.185604762606589E-05
  5.899999999999995E+00   6.148218105451327E-01   5.511983011262032E-04   3.038195671644126E-05
  5.999999999999995E+00   6.389907568171798E-01   5.379075187278642E-04   2.893444987039675E-05
  6.099999999999994E+00   6.633753086059929E-01   5.245471607026486E-04   2.751497238012102E-05
  6.199999999999994E+00   6.879454101697793E-01   5.111252095722712E-04   2.612489798602982E-05
  6.299999999999994E+00   7.126700774910291E-01   4.976497343852941E-04   2.476552581337538E-05
  6.399999999999993E+00   7.375174428293891E-01   4.841288825378649E-04   2.343807749073618E-05
  6.499999999999993E+00   7.624548015317985E-01   4.705708710417878E-04   2.214369446730269E-05
  6.599999999999993E+00   7.874486610209869E-01   4.569839772429940E-04   2.088343554568253E-05
  6.699999999999992E+00   8.124647918728900E-01   4.433765289976158E-04   1.965827464659736E-05
  6.799999999999992E+00   8.374682808828857E-01   4.297568943172763E-04   1.846909882132306E-05
  6.899999999999991E+00   8.624235860101009E-01   4.161334704998614E-04   1.731670652702590E-05
  6.999999999999991E+00   8.872945930784625E-01   4.025146727668944E-04   1.620180617926400E-05
  7.099999999999991E+00   9.120446741027666E-01   3.889089224336528E-04   1.512501499485049E-05
  7.199999999999990E+00   9.366367470979238E-01   3.753246346432868E-04   1.408685813701167E-05
  7.299999999999990E+00   9.610333372198109E-01   3.617702057013652E-04   1.308776817332081E-05
  7.399999999999990E+00   9.851966390769351E-01   3.482540000524262E-04   1.212808485525152E-05
  7.499999999999989E+00   1.009088580043502E+00   3.347843369451634E-04   1.120805522638127E-05
  7.599999999999989E+00   1.032670884396594E+00   3.213694768377728E-04   1.032783406429838E-05
  7.699999999999989E+00   1.055905138093130E+00   3.080176075996281E-04   9.487484659139848E-06
  7.799999999999988E+00   1.078752853996149E+00   2.947368305697738E-04   8.686979929431554E-06
  7.899999999999988E+00   1.101175537354946E+00   2.815351465366412E-04   7.926203873540805E-06
  7.999999999999988E+00   1.123134751339642E+00   2.684204417068189E-04   7.204953352608377E-06
  8.099999999999987E+00   1.144592182428097E+00   2.554004737335807E-04   6.522940198333746E-06
  8.199999999999987E+00   1.165509705441674E+00   2.424828578781150E-04   5.879793636473811E-06
  8.299999999999986E+00   1.185849448026335E+00   2.296750533779443E-04   5.275063014416155E-06
  8.399999999999986E+00   1.205573854376882E+00   2.169843500978295E-04   4.708220818737745E-06
  8.499999999999986E+00   1.224645748004946E+00   2.044178555384664E-04   4.178665966294532E-06
  8.599999999999985E+00   1.243028393355511E+00   1.919824822774800E-04   3.685727350142291E-06
  8.699999999999985E+00   1.260685556082387E+00   1.796849359155873E-04   3.228667619498872E-06
  8.799999999999985E+00   1.277581561800027E+00   1.675317035983276E-04   2.806687171055789E-06
  8.899999999999984E+00   1.293681353137408E+00   1.555290431804649E-04   2.418928327263093E-06
  8.999999999999984E+00   1.308950544929280E+00   1.436829730960854E-04   2.064479675773041E-06
  9.099999999999984E+00   1.323355477390859E+00   1.319992629925751E-04   1.742380543058301E-06
  9.199999999999983E+00   1.336863267133832E+00   1.204834251811412E-04   1.451625574337966E-06
  9.299999999999983E+00   1.349441855894350E+00   1.091407069503973E-04   1.191169391363251E-06
  9.399999999999983E+00   1.361060056857247E+00   9.797608378285602E-05   9.599312993425222E-07
  9.499999999999982E+00   1.371687598474994E+00   8.699425350705569E-05   7.568000143249871E-07
  9.599999999999982E+00   1.381295165694662E+00   7.619963141059375E-05   5.806383827110346E-07
  9.699999999999982E+00   1.389854438521319E+00   6.559634633165227E-05   4.302880652062070E-07
  9.799999999999981E+00   1.397338127861608E+00   5.518823773879911E-05   3.045741584714210E-07
  9.899999999999981E+00   1.403720008606635E+00   4.497885380103591E-05   2.023097289254962E-07
  9.999999999999980E+00   1.408974949928558E+00   3.497145044235717E-05   1.223002346042243E-07
  1.009999999999998E+01   1.413078942780235E+00   2.516899136758753E-05   6.334781264616955E-08
  1.019999999999998E+01   1.416009124601894E+00   1.557414903907639E-05   2.425541182913639E-08
  1.029999999999998E+01   1.417743801252764E+00   6.189306577043323E-06   3.830751590463174E-09
 # Radius of star =   10.367085409313194     
 # Mass of star =   1.4848292105659788     
