 # 
 #  Radius              Mass                  Rho                   Pressure 
  #-------------------------------------
  1.000000000000000E-08   0.000000000000000E+00   1.000000000000000E-04   1.000000000000000E-06
  0.000000000000000E+00   1.256637061435917E-27   1.000000000000000E-04   1.000000000000000E-06
  1.000000000000000E-01   6.281733876117767E-07   9.994052571776115E-05   9.988108680742476E-07
  2.000000000000000E-01   3.557901133593672E-06   9.990235484453931E-05   9.980480503484247E-07
  3.000000000000000E-01   1.150639489882115E-05   9.984612864037088E-05   9.969249404469490E-07
  4.000000000000000E-01   2.697476926905474E-05   9.976907496735372E-05   9.953868319841447E-07
  5.000000000000000E-01   5.245430252813206E-05   9.967067420930240E-05   9.934243297336899E-07
  6.000000000000000E-01   9.042317337619945E-05   9.955078159959754E-05   9.910358117090768E-07
  7.000000000000000E-01   1.433432092611952E-04   9.940936454367468E-05   9.882221758977202E-07
  7.999999999999999E-01   2.136566500043381E-04   9.924643740658245E-05   9.849855337898688E-07
  8.999999999999999E-01   3.037829298179905E-04   9.906203986115087E-05   9.813287741452244E-07
  9.999999999999999E-01   4.161154807631054E-04   9.885622824331396E-05   9.772553862494185E-07
  1.100000000000000E+00   5.530185606744353E-04   9.862907161966324E-05   9.727693768556660E-07
  1.200000000000000E+00   7.168241085654810E-04   9.838064981159500E-05   9.678752257351686E-07
  1.300000000000000E+00   9.098286305080264E-04   9.811105231904781E-05   9.625778587150936E-07
  1.400000000000000E+00   1.134290118962321E-03   9.782037769183603E-05   9.568826291773451E-07
  1.500000000000000E+00   1.392425008513322E-03   9.750873313804013E-05   9.507953038185526E-07
  1.600000000000000E+00   1.686405170945859E-03   9.717623426434751E-05   9.443220505799346E-07
  1.700000000000000E+00   2.018354952567047E-03   9.682300489276866E-05   9.374694276465105E-07
  1.800000000000000E+00   2.390348256657798E-03   9.644917692288350E-05   9.302443729101684E-07
  1.900000000000001E+00   2.804405673906741E-03   9.605489022177013E-05   9.226541935516312E-07
  2.000000000000000E+00   3.262491663649352E-03   9.564029253090900E-05   9.147065555397847E-07
  2.100000000000001E+00   3.766511788702491E-03   9.520553938343103E-05   9.064094729290039E-07
  2.200000000000001E+00   4.318310006549870E-03   9.475079402748418E-05   8.977712968838732E-07
  2.300000000000001E+00   4.919666019597242E-03   9.427622735295600E-05   8.888007043906250E-07
  2.400000000000001E+00   5.572292687177173E-03   9.378201781970328E-05   8.795066866335144E-07
  2.500000000000001E+00   6.277833501942269E-03   9.326835138602411E-05   8.698985370266865E-07
  2.600000000000001E+00   7.037860133242496E-03   9.273542143648956E-05   8.599858389003327E-07
  2.700000000000001E+00   7.853870040036869E-03   9.218342870850637E-05   8.497784528456276E-07
  2.800000000000001E+00   8.727284155842154E-03   9.161258121715483E-05   8.392865037269789E-07
  2.900000000000001E+00   9.659444648171402E-03   9.102309417796512E-05   8.285203673730708E-07
  3.000000000000001E+00   1.065161275486303E-02   9.041518992737884E-05   8.174906569603988E-07
  3.100000000000001E+00   1.170496669964679E-02   8.978909784070200E-05   8.062082091047158E-07
  3.200000000000002E+00   1.282059968923630E-02   8.914505424739884E-05   7.946840696771681E-07
  3.300000000000002E+00   1.399951799417884E-02   8.848330234360721E-05   7.829294793630205E-07
  3.400000000000002E+00   1.524263911563180E-02   8.780409210177998E-05   7.709558589817861E-07
