 # 
 #  Radius              Mass                  Rho                   Pressure 
  #-------------------------------------
  1.000000000000000E-08   0.000000000000000E+00   5.000000000000000E-02   2.500000000000001E-01
  0.000000000000000E+00   6.283185307179587E-25   5.000000000000000E-02   2.500000000000000E-01
  1.000000000000000E-01   3.120284174355287E-04   4.920575264260452E-02   2.421206093125182E-01
  2.000000000000000E-01   1.731366871946739E-03   4.778735556726958E-02   2.283631352112651E-01
  3.000000000000000E-01   5.441887977633389E-03   4.564033361922253E-02   2.083040052873934E-01
  4.000000000000000E-01   1.229484021841945E-02   4.298167379850255E-02   1.847424282520881E-01
  5.000000000000000E-01   2.287675731315237E-02   4.003443778150605E-02   1.602756208481279E-01
  6.000000000000000E-01   3.752139002411371E-02   3.698587338521502E-02   1.367954830067157E-01
  7.000000000000000E-01   5.635034275009125E-02   3.397296305605311E-02   1.154162218807950E-01
  7.999999999999999E-01   7.932271749967613E-02   3.108461072745914E-02   9.662530240776679E-02
  8.999999999999999E-01   1.062813368664044E-01   2.837135215439331E-02   8.049336230685981E-02
  9.999999999999999E-01   1.369902926214130E-01   2.585642101737647E-02   6.685545078278278E-02
  1.100000000000000E+00   1.711631013464419E-01   2.354522883372333E-02   5.543778008323964E-02
  1.200000000000000E+00   2.084828083612416E-01   2.143243602940159E-02   4.593493141543916E-02
  1.300000000000000E+00   2.486159305168480E-01   1.950679783623763E-02   3.805151618238450E-02
  1.400000000000000E+00   2.912219832933744E-01   1.775429005612902E-02   3.152148153971617E-02
  1.500000000000000E+00   3.359599710434419E-01   1.616002389027663E-02   2.611463721343114E-02
  1.600000000000000E+00   3.824928462817263E-01   1.470935635111413E-02   2.163651642640616E-02
  1.700000000000000E+00   4.304906383030180E-01   1.338848775165434E-02   1.792516042761984E-02
  1.800000000000000E+00   4.796327235776914E-01   1.218474296424731E-02   1.484679611047742E-02
  1.900000000000001E+00   5.296095483688943E-01   1.108666412846749E-02   1.229141214974478E-02
  2.000000000000000E+00   5.801240013739299E-01   1.008399544386657E-02   1.016869641119217E-02
  2.100000000000001E+00   6.308925564501260E-01   9.167609861144335E-03   8.404507056615084E-03
  2.200000000000001E+00   6.816462517832815E-01   8.329407821852293E-03   6.937903466273416E-03
  2.300000000000001E+00   7.321315347247384E-01   7.562205903918838E-03   5.718695813326493E-03
  2.400000000000001E+00   7.821109761591878E-01   6.859625681146234E-03   4.705446448544095E-03
  2.500000000000001E+00   8.313638417771569E-01   6.215988549100041E-03   3.863851364254283E-03
  2.600000000000001E+00   8.796864983665256E-01   5.626219565994879E-03   3.165434660478361E-03
  2.700000000000001E+00   9.268926302468123E-01   5.085761769632613E-03   2.586497277745665E-03
  2.800000000000001E+00   9.728132435200404E-01   4.590501491354700E-03   2.107270394212973E-03
  2.900000000000001E+00   1.017296443060767E+00   4.136704603416535E-03   1.711232497592755E-03
  3.000000000000001E+00   1.060206977952533E+00   3.720963235289303E-03   1.384556739837464E-03
  3.100000000000001E+00   1.101425563871510E+00   3.340152188067349E-03   1.115661663945110E-03
  3.200000000000002E+00   1.140848003951125E+00   2.991394031042986E-03   8.948438248959609E-04
  3.300000000000002E+00   1.178384141169625E+00   2.672031680551421E-03   7.139753301870451E-04
  3.400000000000002E+00   1.213956683821917E+00   2.379607152284544E-03   5.662530199203755E-04
  3.500000000000002E+00   1.247499950251219E+00   2.111845156917162E-03   4.459889966794472E-04
  3.600000000000002E+00   1.278958579480875E+00   1.866640276565501E-03   3.484345922096531E-04
  3.700000000000002E+00   1.308286251098748E+00   1.642046603784979E-03   2.696317049001783E-04
  3.800000000000002E+00   1.335444451580362E+00   1.436268921718844E-03   2.062868415495411E-04
  3.900000000000002E+00   1.360401316309473E+00   1.247654724645959E-03   1.556642311931383E-04
  4.000000000000002E+00   1.383130567989873E+00   1.074686594971045E-03   1.154951277410459E-04
  4.100000000000001E+00   1.403610563889806E+00   9.159746444215694E-04   8.390095492232205E-05
  4.200000000000001E+00   1.421823457096520E+00   7.702488812397669E-04   5.932833390511125E-05
  4.300000000000001E+00   1.437754471064081E+00   6.363514772524870E-04   4.049432026014225E-05
  4.400000000000000E+00   1.451391282335044E+00   5.132289811630366E-04   2.634039871056486E-05
  4.500000000000000E+00   1.462723503335603E+00   3.999245635793718E-04   1.599396565541510E-05
  4.600000000000000E+00   1.471742255395560E+00   2.955703932240198E-04   8.736185735060169E-06
  4.699999999999999E+00   1.478439821384420E+00   1.993802404762655E-04   3.975248029237346E-06
  4.799999999999999E+00   1.482809367331773E+00   1.106423907933774E-04   1.224173864047444E-06
  4.899999999999999E+00   1.484844722884675E+00   2.871293200750738E-05   8.244324644677416E-08
 # Radius of star =   4.9364727840598661     
 # Mass of star =   1.5213175069445426     
