 # 
 #  Radius              Mass                  Rho                   Pressure 
  #-------------------------------------
  1.000000000000000E-08   0.000000000000000E+00   5.000000000000000E-03   2.500000000000000E-03
  0.000000000000000E+00   6.283185307179587E-26   5.000000000000000E-03   2.500000000000000E-03
  1.000000000000000E-01   3.140091734655605E-05   4.994042020190085E-03   2.494045569942426E-03
  2.000000000000000E-01   1.777272036745917E-04   4.987754907300884E-03   2.487769901530405E-03
  3.000000000000000E-01   5.742631254227575E-04   4.977836635836180E-03   2.477885757307285E-03
  4.000000000000000E-01   1.344635231486486E-03   4.964096028446892E-03   2.464224937964220E-03
  5.000000000000000E-01   2.610708847801158E-03   4.946515028341395E-03   2.446801092560727E-03
  6.000000000000000E-01   4.492012510304807E-03   4.925109162241352E-03   2.425670025999371E-03
  7.000000000000000E-01   7.105172006927498E-03   4.899907942112541E-03   2.400909784117756E-03
  7.999999999999999E-01   1.056335638354839E-02   4.870949914908995E-03   2.372615307355195E-03
  8.999999999999999E-01   1.497573815872220E-02   4.838280930868611E-03   2.340896236600683E-03
  9.999999999999999E-01   2.044696991052544E-02   4.801953362568049E-03   2.305875609627859E-03
  1.100000000000000E+00   2.707667931049237E-02   4.762025660223033E-03   2.267688838862261E-03
  1.200000000000000E+00   3.495898458367941E-02   4.718562040251657E-03   2.226482772770388E-03
  1.300000000000000E+00   4.418203227182028E-02   4.671632230392036E-03   2.182414769603767E-03
  1.400000000000000E+00   5.482755907004409E-02   4.621311239696480E-03   2.135651757414502E-03
  1.500000000000000E+00   6.697047939856497E-02   4.567679139731285E-03   2.086369272353634E-03
  1.600000000000000E+00   8.067850026099797E-02   4.510820851190843E-03   2.034750475153808E-03
  1.700000000000000E+00   9.601176483238977E-02   4.450825933836206E-03   1.980985149330893E-03
  1.800000000000000E+00   1.130225261145099E-01   4.387788379499935E-03   1.925268686327467E-03
  1.900000000000001E+00   1.317548518951768E-01   4.321806408830476E-03   1.867801063540817E-03
  2.000000000000000E+00   1.522443621540066E-01   4.252982272915363E-03   1.808785821373233E-03
  2.100000000000001E+00   1.745179999704173E-01   4.181422061129172E-03   1.748429045329773E-03
  2.200000000000001E+00   1.985938369121903E-01   4.107235516601058E-03   1.686938358882916E-03
  2.300000000000001E+00   2.244809138153331E-01   4.030535860639853E-03   1.624521932390384E-03
  2.400000000000001E+00   2.521791178089544E-01   3.951439627318661E-03   1.561387512834424E-03
  2.500000000000001E+00   2.816790963925541E-01   3.870066509219075E-03   1.497741478577911E-03
  2.600000000000001E+00   3.129622093372040E-01   3.786539215073474E-03   1.433787922728924E-03
  2.700000000000001E+00   3.460005191556869E-01   3.700983339724120E-03   1.369727768091550E-03
  2.800000000000001E+00   3.807568208682216E-01   3.613527246439173E-03   1.305757916075827E-03
  2.900000000000001E+00   4.171847117776400E-01   3.524301961186228E-03   1.242070431362109E-03
  3.000000000000001E+00   4.552287019576424E-01   3.433441077960827E-03   1.178851763582881E-03
  3.100000000000001E+00   4.948243661459309E-01   3.341080673698477E-03   1.116282006816147E-03
  3.200000000000002E+00   5.358985377154339E-01   3.247359230662559E-03   1.054534197296933E-03
  3.300000000000002E+00   5.783695453651581E-01   3.152417563498311E-03   9.937736494652627E-04
  3.400000000000002E+00   6.221474931199401E-01   3.056398747378847E-03   9.341573302978984E-04
  3.500000000000002E+00   6.671345841467631E-01   2.959448042852017E-03   8.758332718340636E-04
  3.600000000000002E+00   7.132254887744947E-01   2.861712812142034E-03   8.189400219177868E-04
  3.700000000000002E+00   7.603077569330171E-01   2.763342420790636E-03   7.636061334541051E-04
  3.800000000000002E+00   8.082622749951957E-01   2.664488117672512E-03   7.099496929218009E-04
  3.900000000000002E+00   8.569637666991696E-01   2.565302885633724E-03   6.580778895040710E-04
  4.000000000000002E+00   9.062813374376916E-01   2.465941254337876E-03   6.080866269845460E-04
  4.100000000000001E+00   9.560790607156406E-01   2.366559066434183E-03   5.600601814921831E-04
  4.200000000000001E+00   1.006216604988835E+00   2.267313187968110E-03   5.140709092334113E-04
  4.300000000000001E+00   1.056549898403153E+00   2.168361154133115E-03   4.701790094753494E-04
  4.400000000000000E+00   1.106931828154458E+00   2.069860742109941E-03   4.284323491727915E-04
  4.500000000000000E+00   1.157212970295683E+00   1.971969463954470E-03   3.888663566768880E-04
  4.600000000000000E+00   1.207242344845193E+00   1.874843974359078E-03   3.515039928190542E-04
  4.699999999999999E+00   1.256868190027633E+00   1.778639390681722E-03   3.163558082084648E-04
  4.799999999999999E+00   1.305938748443206E+00   1.683508525924923E-03   2.834200956861908E-04
  4.899999999999999E+00   1.354303056962723E+00   1.589601039308219E-03   2.526831464169769E-04
  4.999999999999998E+00   1.401811731242165E+00   1.497062513594894E-03   2.241196169611062E-04
  5.099999999999998E+00   1.448317735007303E+00   1.406033473207671E-03   1.976930127780425E-04
  5.199999999999998E+00   1.493677123744107E+00   1.316648362117275E-03   1.733562909466104E-04
  5.299999999999997E+00   1.537749752209339E+00   1.229034505159743E-03   1.510525814873254E-04
  5.399999999999997E+00   1.580399935303943E+00   1.143311080432545E-03   1.307160226639833E-04
  5.499999999999996E+00   1.621497052368982E+00   1.059588133324933E-03   1.122727012283015E-04
  5.599999999999996E+00   1.660916085887039E+00   9.779656641788622E-04   9.564168403128031E-05
  5.699999999999996E+00   1.698538086890498E+00   8.985328212650488E-04   8.073612308905281E-05
  5.799999999999995E+00   1.734250561051201E+00   8.213672285401394E-04   6.746441241197096E-05
  5.899999999999995E+00   1.767947771383884E+00   7.465344735412405E-04   5.573137201854971E-05
  5.999999999999995E+00   1.799530955643439E+00   6.740877749730125E-04   4.543943283680668E-05
  6.099999999999994E+00   1.828908458721152E+00   6.040678424240741E-04   3.648979582508760E-05
  6.199999999999994E+00   1.855995782527415E+00   5.365029327253784E-04   2.878353968229319E-05
  6.299999999999994E+00   1.880715557871408E+00   4.714090993265614E-04   2.222265389278798E-05
  6.399999999999993E+00   1.902997444609129E+00   4.087906233224524E-04   1.671097737163592E-05
  6.499999999999993E+00   1.922777967749993E+00   3.486406079594971E-04   1.215502735183677E-05
  6.599999999999993E+00   1.940000298237809E+00   2.909417130236879E-04   8.464708037715794E-06
  6.699999999999992E+00   1.954613987733959E+00   2.356670017356380E-04   5.553893570706518E-06
  6.799999999999992E+00   1.966574666938647E+00   1.827808707621244E-04   3.340884671656041E-06
  6.899999999999991E+00   1.975843716825198E+00   1.322400336417534E-04   1.748742649757208E-06
  6.999999999999991E+00   1.982387921687174E+00   8.399452912523283E-05   7.055080922969586E-07
  7.099999999999991E+00   1.986179112174950E+00   3.798872836235873E-05   1.443143482589079E-07
 # Radius of star =   7.1845966352362369     
 # Mass of star =   2.0707757474111963     
