 # 
 #  Radius              Mass                  Rho                   Pressure 
  #-------------------------------------
  4.799999999999999E+00   8.248277961208593E-01   1.351632826004160E-03   1.826911296331991E-04
  4.899999999999999E+00   8.641788326322518E-01   1.311037161603141E-03   1.718818439104419E-04
  4.999999999999998E+00   9.039163424615787E-01   1.270254931023135E-03   1.613547589788590E-04
  5.099999999999998E+00   9.439661838266498E-01   1.229326441031238E-03   1.511243498618529E-04
  5.199999999999998E+00   9.842518605652133E-01   1.188292593599871E-03   1.412039288004308E-04
  5.299999999999997E+00   1.024694728724240E+00   1.147194814214328E-03   1.316055941760246E-04
  5.399999999999997E+00   1.065214214335268E+00   1.106074970647818E-03   1.223401840693572E-04
  5.499999999999996E+00   1.105728041603030E+00   1.064975281924383E-03   1.134172351109919E-04
  5.599999999999996E+00   1.146152470592371E+00   1.023938217331905E-03   1.048449472912840E-04
  5.699999999999996E+00   1.186402543353352E+00   9.830063855145107E-04   9.663015539623030E-05
  5.799999999999995E+00   1.226392337279047E+00   9.422224138646992E-04   8.877830771890205E-05
  5.899999999999995E+00   1.266035224348416E+00   9.016288186480026E-04   8.129345266165928E-05
  5.999999999999995E+00   1.305244134771175E+00   8.612678665230083E-04   7.417823379050945E-05
  6.099999999999994E+00   1.343931823427054E+00   8.211814283618942E-04   6.743389382864806E-05
  6.199999999999994E+00   1.382011137382170E+00   7.814108265244987E-04   6.106028798097002E-05
  6.299999999999994E+00   1.419395282674919E+00   7.419966769844162E-04   5.505590686559161E-05
  6.399999999999993E+00   1.455998088496666E+00   7.029787279396527E-04   4.941790919356523E-05
  6.499999999999993E+00   1.491734266852659E+00   6.643956967532551E-04   4.414216418642432E-05
  6.599999999999993E+00   1.526519665778955E+00   6.262851072510779E-04   3.922330355644941E-05
  6.699999999999992E+00   1.560271514214549E+00   5.886831295447583E-04   3.465478270106107E-05
  6.799999999999992E+00   1.592908656685720E+00   5.516244246391995E-04   3.042895058585279E-05
  6.899999999999991E+00   1.624351776052554E+00   5.151419961180634E-04   2.653712761645028E-05
  6.999999999999991E+00   1.654523602694921E+00   4.792670511726059E-04   2.296969063396853E-05
  7.099999999999991E+00   1.683349108675044E+00   4.440288731458760E-04   1.971616401871964E-05
  7.199999999999990E+00   1.710755685603118E+00   4.094547076059111E-04   1.676531575806422E-05
  7.299999999999990E+00   1.736673305146877E+00   3.755696637412498E-04   1.410525723227154E-05
  7.399999999999990E+00   1.761034661360422E+00   3.423966325959891E-04   1.172354540130727E-05
  7.499999999999989E+00   1.783775294255914E+00   3.099562233387045E-04   9.607286038639284E-06
  7.599999999999989E+00   1.804833694297384E+00   2.782667184010913E-04   7.743236656971226E-06
  7.699999999999989E+00   1.824151387752083E+00   2.473440479411992E-04   6.117907805193824E-06
  7.799999999999988E+00   1.841673003084866E+00   2.172017836966031E-04   4.717661484098597E-06
  7.899999999999988E+00   1.857346318818613E+00   1.878511519089676E-04   3.528805527352600E-06
  7.999999999999988E+00   1.871122293503040E+00   1.593010646367681E-04   2.537682919440776E-06
  8.099999999999987E+00   1.882955078630572E+00   1.315581684396540E-04   1.730755168319636E-06
  8.199999999999987E+00   1.892802015507400E+00   1.046269091263025E-04   1.094679011332357E-06
  8.299999999999986E+00   1.900623617227833E+00   7.850961101547589E-05   6.163759021801334E-07
  8.399999999999986E+00   1.906383537009058E+00   5.320656897250079E-05   2.830938981825484E-07
  8.499999999999986E+00   1.910048524221054E+00   2.871615135298986E-05   8.246173485278212E-08
  8.599999999999985E+00   1.911588369493432E+00   5.034911912104280E-06   2.535033796264957E-09
 # Radius of star =   8.6216292721606482     
 # Mass of star =   1.9332176416540954     
