 # 
 #  Radius              Mass                  Rho                   Pressure 
  #-------------------------------------
  1.000000000000000E-08   0.000000000000000E+00   1.000000000000000E-02   1.000000000000000E-02
  0.000000000000000E+00   1.256637061435917E-25   1.000000000000000E-02   1.000000000000000E-02
  1.000000000000000E-01   6.278033203674356E-05   9.979922985623483E-03   9.959886279897592E-03
  2.000000000000000E-01   3.549707493152792E-04   9.953821153378286E-03   9.907855555344102E-03
  3.000000000000000E-01   1.145378071106372E-03   9.911949371434515E-03   9.824674034188107E-03
  4.000000000000000E-01   2.676865362944243E-03   9.853991127584004E-03   9.710114114250426E-03
  5.000000000000000E-01   5.184916895843425E-03   9.780164229874154E-03   9.565161236330989E-03
  6.000000000000000E-01   8.895342060298230E-03   9.690844088475115E-03   9.391245914713308E-03
  7.000000000000000E-01   1.402211303020189E-02   9.586505850859664E-03   9.190109442856658E-03
  7.999999999999999E-01   2.076536293312094E-02   9.467704714705457E-03   8.963743256485593E-03
  8.999999999999999E-01   2.930956710126694E-02   9.335064122898168E-03   8.714342217862055E-03
  9.999999999999999E-01   3.982192552586045E-02   9.189265991202004E-03   8.444260945706175E-03
  1.100000000000000E+00   5.245096000652779E-02   9.031041531838282E-03   8.155971114978794E-03
  1.200000000000000E+00   6.732533485566351E-02   8.861162329461965E-03   7.852019782907581E-03
  1.300000000000000E+00   8.455290555514068E-02   8.680431651581158E-03   7.534989365777198E-03
  1.400000000000000E+00   1.042199956177125E-01   8.489676078542466E-03   7.207459991857618E-03
  1.500000000000000E+00   1.263908981985132E-01   8.289737564726122E-03   6.871974889203138E-03
  1.600000000000000E+00   1.511075958225870E-01   8.081466039022678E-03   6.531009333987689E-03
  1.700000000000000E+00   1.783896889993582E-01   7.865712636238746E-03   6.186943527588589E-03
  1.800000000000000E+00   2.082345225100092E-01   7.643323629217946E-03   5.842039610096140E-03
  1.900000000000001E+00   2.406174967755597E-01   7.415135107829409E-03   5.498422866736427E-03
  2.000000000000000E+00   2.754925509134573E-01   7.181968427586002E-03   5.158067049484215E-03
  2.100000000000001E+00   3.127928038189463E-01   6.944626428673567E-03   4.822783623383137E-03
  2.200000000000001E+00   3.524313397977237E-01   6.703890406251017E-03   4.494214657902442E-03
  2.300000000000001E+00   3.943021258487462E-01   6.460517795318518E-03   4.173829018362725E-03
  2.400000000000001E+00   4.382810485611741E-01   6.215240518295100E-03   3.862921470025715E-03
  2.500000000000001E+00   4.842270596509086E-01   5.968763930569615E-03   3.562614285886884E-03
  2.600000000000001E+00   5.319834203183059E-01   5.721766288452701E-03   3.273860945967381E-03
  2.700000000000001E+00   5.813790357537372E-01   5.474898654880841E-03   2.997451528121604E-03
  2.800000000000001E+00   6.322298721428967E-01   5.228785150647205E-03   2.734019415162872E-03
  2.900000000000001E+00   6.843404493182724E-01   4.984023452686764E-03   2.484048977693169E-03
  3.000000000000001E+00   7.375054026558974E-01   4.741185436011028E-03   2.247883933864308E-03
  3.100000000000001E+00   7.915111078194309E-01   4.500817852477407E-03   2.025736134117934E-03
  3.200000000000002E+00   8.461373614076320E-01   4.263442938171977E-03   1.817694568704850E-03
  3.300000000000002E+00   9.011591093849458E-01   4.029558842572717E-03   1.623734446575598E-03
  3.400000000000002E+00   9.563482133170148E-01   3.799639777933581E-03   1.443726244205515E-03
  3.500000000000002E+00   1.011475241888694E+00   3.574135797808696E-03   1.277444670117761E-03
  3.600000000000002E+00   1.066311272012164E+00   3.353472130714511E-03   1.124577533147892E-03
  3.700000000000002E+00   1.120629680181950E+00   3.138048019812477E-03   9.847345374649011E-04
  3.800000000000002E+00   1.174207900846864E+00   2.928235052841275E-03   8.574560524688345E-04
  3.900000000000002E+00   1.226829124796317E+00   2.724375008005501E-03   7.422219184244971E-04
  4.000000000000002E+00   1.278283907345886E+00   2.526777289394877E-03   6.384603470201720E-04
  4.100000000000001E+00   1.328371653963477E+00   2.335716076315911E-03   5.455569589160594E-04
  4.200000000000001E+00   1.376901950418592E+00   2.151427359503408E-03   4.628639683219806E-04
  4.300000000000001E+00   1.423695706006721E+00   1.974106077082451E-03   3.897094803573865E-04
  4.400000000000000E+00   1.468586082180484E+00   1.803903587519886E-03   3.254068153067113E-04
  4.500000000000000E+00   1.511419185044797E+00   1.640925719701936E-03   2.692637217579316E-04
  4.600000000000000E+00   1.552054508380981E+00   1.485231618139320E-03   2.205912959520742E-04
  4.699999999999999E+00   1.590365123584134E+00   1.336833554157170E-03   1.787123951520492E-04
  4.799999999999999E+00   1.626237623308734E+00   1.195697805933559E-03   1.429693243114326E-04
  4.899999999999999E+00   1.659571835759222E+00   1.061746629307720E-03   1.127305904846305E-04
  4.999999999999998E+00   1.690280335483316E+00   9.348612576861332E-04   8.739655711224988E-05
  5.099999999999998E+00   1.718287783432062E+00   8.148857938499344E-04   6.640388570184377E-05
  5.199999999999998E+00   1.743530133424483E+00   7.016317980701721E-04   4.922871800631827E-05
  5.299999999999997E+00   1.765953743815461E+00   5.948833414570302E-04   3.538861899430816E-05
  5.399999999999997E+00   1.785514432263566E+00   4.944022826752225E-04   2.444336171144707E-05
  5.499999999999996E+00   1.802176508447650E+00   3.999335380102986E-04   1.599468348254350E-05
  5.599999999999996E+00   1.815911814971147E+00   3.112101443910627E-04   9.685175397190610E-06
  5.699999999999996E+00   1.826698801162054E+00   2.279579560015266E-04   5.196482970439392E-06
  5.799999999999995E+00   1.834521648628434E+00   1.498998610541499E-04   2.246996834405345E-06
  5.899999999999995E+00   1.839369461763241E+00   7.675945054517242E-05   5.892013247996771E-07
  5.999999999999995E+00   1.841235531270277E+00   8.264111263735896E-06   6.829553497940651E-09
 # Radius of star =   6.0124718273485858     
 # Mass of star =   1.8537073586188682     
