 # 
 #  Radius              Mass                  Rho                   Pressure 
  #-------------------------------------
  1.000000000000000E-08   0.000000000000000E+00   1.000000000000000E-01   1.000000000000000E+00
  0.000000000000000E+00   1.256637061435917E-24   9.999999999999994E-02   9.999999999999988E-01
  1.000000000000000E-01   6.146639314965879E-04   9.501729445633164E-02   9.028286245801231E-01
  2.000000000000000E-01   3.259726540526125E-03   8.666877170919891E-02   7.511475989581238E-01
  3.000000000000000E-01   9.692687049021275E-03   7.626153318816641E-02   5.815821444209806E-01
  4.000000000000000E-01   2.062738549097467E-02   6.597407014175270E-02   4.352577931068906E-01
  5.000000000000000E-01   3.619705240071529E-02   5.680945211297077E-02   3.227313849375920E-01
  6.000000000000000E-01   5.622940697917247E-02   4.900578625443067E-02   2.401567086414946E-01
  7.000000000000000E-01   8.041760053562363E-02   4.247035446650858E-02   1.803731008510885E-01
  7.999999999999999E-01   1.084053695640221E-01   3.701197919196458E-02   1.369886603706419E-01
  8.999999999999999E-01   1.398251362573158E-01   3.243570512207674E-02   1.052074966766315E-01
  9.999999999999999E-01   1.743138979022729E-01   2.857313619450392E-02   8.164241119896697E-02
  1.100000000000000E+00   2.115193295043852E-01   2.528754978351183E-02   6.394601740535892E-02
  1.200000000000000E+00   2.511017749830974E-01   2.247060328769266E-02   5.049280121128642E-02
  1.300000000000000E+00   2.927346248576614E-01   2.003709032583540E-02   4.014849887256865E-02
  1.400000000000000E+00   3.361041555861931E-01   1.791996078286939E-02   3.211249944595768E-02
  1.500000000000000E+00   3.809092784471839E-01   1.606620313881675E-02   2.581228832977251E-02
  1.600000000000000E+00   4.268613701951404E-01   1.443362027765211E-02   2.083293943194502E-02
  1.700000000000000E+00   4.736842367356565E-01   1.298836172475615E-02   1.686975402931104E-02
  1.800000000000000E+00   5.211142081747124E-01   1.170305000242322E-02   1.369613793592182E-02
  1.900000000000001E+00   5.689003406790177E-01   1.055535877070365E-02   1.114155987782705E-02
  2.000000000000000E+00   6.168046908565872E-01   9.526929952115284E-03   9.076239431251134E-03
  2.100000000000001E+00   6.646026245634526E-01   8.602544280607789E-03   7.400376809981777E-03
  2.200000000000001E+00   7.120831211965113E-01   7.769481671380827E-03   6.036484544192261E-03
  2.300000000000001E+00   7.590490356179115E-01   7.017024527701086E-03   4.923863322235864E-03
  2.400000000000001E+00   8.053172826747035E-01   6.336069492878695E-03   4.014577661858808E-03
  2.500000000000001E+00   8.507189138948970E-01   5.718822215400173E-03   3.270492753135454E-03
  2.600000000000001E+00   8.950990623809909E-01   5.158556269812524E-03   2.661070278882210E-03
  2.700000000000001E+00   9.383167399977981E-01   4.649422125359215E-03   2.161712609977981E-03
  2.800000000000001E+00   9.802444801998944E-01   4.186295475917272E-03   1.752506981168542E-03
  2.900000000000001E+00   1.020767829548131E+00   3.764656709750944E-03   1.417264014227280E-03
  3.000000000000001E+00   1.059784700251226E+00   3.380495083194171E-03   1.142774700749997E-03
  3.100000000000001E+00   1.097204604056307E+00   3.030232475057396E-03   9.182308852892472E-04
  3.200000000000002E+00   1.132947793771247E+00   2.710662589708284E-03   7.347691675244020E-04
  3.300000000000002E+00   1.166944342180484E+00   2.418902253480413E-03   5.851088111892618E-04
  3.400000000000002E+00   1.199133189007185E+00   2.152352082574385E-03   4.632619487362290E-04
  3.500000000000002E+00   1.229461185103034E+00   1.908664334255172E-03   3.642999540857740E-04
  3.600000000000002E+00   1.257882159694789E+00   1.685716210149160E-03   2.841639141159646E-04
  3.700000000000002E+00   1.284356031909549E+00   1.481587271377523E-03   2.195100842707895E-04
  3.800000000000002E+00   1.308847982588724E+00   1.294539954343798E-03   1.675833693392444E-04
  3.900000000000002E+00   1.331327697161614E+00   1.123002445650211E-03   1.261134492936355E-04
  4.000000000000002E+00   1.351768685526772E+00   9.655533881543938E-04   9.322933453764295E-05
  4.100000000000001E+00   1.370147680770128E+00   8.209080527791265E-04   6.738900311176172E-05
  4.200000000000001E+00   1.386444115271651E+00   6.879057292641647E-04   4.732142923544623E-05
  4.300000000000001E+00   1.400639670335448E+00   5.654981714964714E-04   3.197881819658526E-05
  4.400000000000000E+00   1.412717893855493E+00   4.527389873740422E-04   2.049725906884731E-05
  4.500000000000000E+00   1.422663879584795E+00   3.487738967256537E-04   1.216432310371969E-05
  4.600000000000000E+00   1.430464001173891E+00   2.528317999154418E-04   6.392391904848199E-06
  4.699999999999999E+00   1.436105694149285E+00   1.642166094217442E-04   2.696709480997369E-06
  4.799999999999999E+00   1.439577279291816E+00   8.229980065008287E-05   6.773257187043381E-07
  4.899999999999999E+00   1.440867821346474E+00   6.513639166739742E-06   4.242749519448599E-09
 # Radius of star =   4.9089355028574673     
 # Mass of star =   1.4498033242039428     
